fid,class,k1,k2,k3,k4,k5
74,1,0.37989,0.01857,-1.86088,0.79269,-0.37788
73,1,0.37989,0.01857,-2.6771,0.79269,-0.37788
72,1,0.37989,0.01857,1.6436,0.31635,0.60871
87,1,0.37989,-0.11892,-1.86088,0.79269,-0.02813
86,1,0.37989,-0.11892,-3.32151,0.31635,0.5979
85,1,0.37989,0.01857,-0.81846,-2.55422,-1.99435
84,1,0.24368,-0.03629,-1.05396,0.19777,0.1298
83,1,0.37989,-0.11892,0.81739,-1.37207,-0.48902
82,1,0.37989,0.01857,-0.13666,0.86529,1.82967
81,1,0.37989,0.01012,0.03755,0.79269,-0.02813
80,1,0.37989,0.1021,3.27344,0.86529,2.40321
95,1,0.37989,0.01857,0.81739,1.25739,0.1298
94,1,0.37989,0.01857,0.81739,0.79269,-0.02813
93,1,0.37989,-0.03629,0.81739,0.79269,0.1298
92,1,0.24368,0.01857,1.02107,0.46057,0.60871
91,1,0.37989,0.01857,1.02107,0.79269,0.1298
90,1,0.37989,-0.03629,1.02107,-0.75901,-0.3554
89,1,0.37989,0.1021,1.02107,1.25739,1.82967
88,1,0.37989,0.1021,0.96785,-2.55422,-0.1333
391,1,0.24368,0.01012,0.81739,0.46057,-0.68024
390,1,0.37989,-0.03629,0.59507,0.79269,0.37233
389,0,0.24368,0.01012,0.81739,0.46057,-1.28064
388,1,-1.5552,-0.11892,-0.1886,0.46057,-0.3554
387,1,0.37989,0.01857,-2.6771,0.79269,0.25369
386,0,-1.5552,-0.11892,-3.42525,-3.4703,0.1298
385,1,0.24368,-0.11892,-2.6771,0.79269,-0.02813
384,0,-1.5552,0.01012,-3.42525,-3.4703,-0.01035
399,1,-1.5552,0.1021,-1.05396,-2.01938,-0.48112
398,1,0.37989,0.01857,-3.32151,-0.00865,-0.02813
397,1,0.24368,-0.03629,-0.1886,-0.17583,0.1298
396,0,-0.00751,-0.03629,-0.01797,-0.01196,-1.28064
395,0,-0.00751,-0.11892,-1.05396,-2.01938,-0.03249
394,0,-1.5552,0.01012,-1.05396,-2.01938,-1.28064
393,1,0.24368,-0.03629,-0.27807,0.31635,0.60871
392,1,-0.00751,0.01857,-2.6771,-2.55422,-0.1333
400,1,-0.00751,0.01857,0.81739,0.46057,-3.37268
295,1,0.37989,0.1021,0.59507,0.79269,-0.03249
294,1,-1.5552,-0.11892,-2.6771,-1.37207,-0.1333
293,1,-0.00751,0.01857,0.81739,-1.37207,-0.02813
292,0,-0.48791,0.01012,-1.05396,-2.01938,-3.37268
291,0,0.24368,-0.11892,0.81739,0.86529,-0.03249
290,1,-0.00751,0.1021,0.81739,0.46057,0.37233
289,1,0.37989,-0.11892,-0.27807,0.27136,0.57591
288,0,-1.5552,0.1021,-0.01777,-0.0173,-1.99435
303,1,0.37989,0.01012,-2.6771,0.31635,0.60871
302,0,-1.5552,-0.11892,-0.01777,-0.0173,-1.99435
301,1,0.24368,0.01857,-0.00068,-0.17583,-0.97521
300,1,-0.48791,0.1021,0.81739,0.46057,-3.37268
299,0,-0.48791,0.01857,0.81739,0.46057,-3.37268
298,0,-0.48791,0.01857,0.81739,0.46057,-0.02813
297,0,-1.5552,-0.11892,-0.00085,0.46057,-7e-05
296,1,-0.00751,0.1021,0.81739,0.46057,-0.1333
311,1,-0.00751,0.1021,0.81739,0.31635,0.1048
310,0,0.24368,0.01012,-1.05396,-2.01938,-0.02813
309,1,-0.00751,0.01857,0.81739,0.46057,0.1298
308,1,-0.48791,-0.11892,0.81739,0.46057,0.1298
307,1,-0.48791,0.01012,-1.05396,0.27136,0.98562
306,1,-0.48791,0.01857,0.59507,0.86529,-0.02813
305,0,-0.48791,0.01857,-1.05396,-2.01938,-1.99435
304,1,-0.48791,-0.11892,-0.27807,-0.75901,-0.1333
319,0,-1.5552,-0.11892,0.81739,0.86529,-0.03249
318,0,-0.00751,0.1021,-3.42525,-3.4703,-0.37788
317,1,0.37989,0.01012,-0.01394,0.79269,0.44898
316,1,-0.48791,0.1021,0.70113,-2.02158,0.50836
315,1,0.37989,-0.03629,-0.27807,0.31635,0.60871
314,1,0.37989,-0.03629,-1.86088,-2.55422,0.1048
313,1,0.37989,0.01012,-0.18635,-1.28381,-1.99435
312,1,-0.48791,0.01012,-0.18215,0.46057,0.1298
263,1,0.37989,-0.11892,0.81739,0.31635,0.1298
262,1,0.37989,0.1021,-0.1886,0.46057,-0.68024
261,1,-0.00751,0.1021,0.81739,-0.17583,-0.02813
260,0,-0.00751,-0.11892,-1.05396,-2.01938,-0.37788
259,0,-0.00751,-0.11892,0.81739,0.46057,-0.48112
258,0,0.24368,-0.11892,0.81739,0.46057,-0.02813
257,0,-0.48791,-0.03629,-3.42525,-3.4703,-0.1333
256,1,0.37989,0.1021,0.59507,0.64818,0.37233
271,1,0.24368,0.1021,0.81739,0.79269,0.1298
270,1,0.24368,-0.11892,0.81739,0.46057,-0.1333
269,1,0.24368,0.01857,0.81739,0.46057,0.25369
268,1,0.37989,0.01012,-3.32151,-0.00302,-0.00393
267,0,0.24368,0.1021,-1.05396,0.19777,0.1298
266,1,0.37989,0.01012,1.46841,0.31635,-0.48902
265,1,0.37989,-0.03629,0.81739,0.79269,0.57591
264,0,-1.5552,-0.11892,-0.27807,-0.75901,-1.99435
279,1,-0.00751,-0.11892,0.81739,0.64818,-0.03249
278,0,0.37989,0.01857,-1.05396,-2.01938,-0.1333
277,1,0.37989,-0.03629,0.81739,-1.37207,-0.02813
276,1,-0.00751,-0.11892,-0.27807,0.31635,-0.02813
275,1,0.24368,0.01012,0.81739,0.46057,-3.37268
274,0,-1.5552,-0.03629,-1.05396,-2.01938,-0.1333
273,1,0.37989,0.1021,0.81739,0.79269,-0.1333
272,1,-0.48791,0.1021,-0.1886,0.46057,2.03478
287,1,-1.5552,-0.03629,-0.1886,-2.01938,0.60871
286,1,0.24368,-0.11892,-0.27807,-0.75901,-0.00687
285,1,0.24368,0.01857,0.81739,0.46057,0.1298
284,1,-0.00751,0.1021,0.81739,0.46057,2.03478
283,0,-0.48791,-0.03629,-1.05396,-2.01938,-3.37268
282,1,0.24368,-0.03629,-0.1886,0.46057,0.50836
281,1,0.37989,0.1021,-0.27807,-2.01938,-0.00687
280,0,0.24368,0.01012,0.81739,0.46057,-0.68024
359,1,-0.00751,0.01012,0.81739,0.46057,-0.02813
358,1,0.37989,0.01857,-3.32151,0.31635,-1.99435
357,1,0.24368,0.01857,-1.86088,-2.55422,-0.48902
356,1,0.24368,-0.11892,0.81739,0.46057,-0.02813
355,0,-0.00751,0.01857,0.81739,0.46057,-0.03249
354,0,-0.48791,-0.11892,-1.05396,-2.01938,-0.1333
353,0,-0.48791,0.01857,-1.05396,0.19777,0.1298
352,1,0.37989,0.1021,1.65844,1.11861,0.44898
367,0,-0.48791,0.01857,-1.05396,-2.01938,-0.02813
366,1,-0.00751,0.01012,-1.86088,0.31635,0.44898
365,1,0.37989,0.1021,-1.05396,0.19777,0.60871
364,0,-1.5552,0.01857,-1.05396,0.19777,0.1298
363,0,-1.5552,-0.03629,-1.05396,-2.01938,-0.02813
362,0,-0.48791,0.01857,0.81739,0.27136,-3.37268
361,0,-0.00751,0.01012,0.81739,0.46057,0.1298
360,0,-1.5552,0.01857,-3.42525,-3.4703,0.1298
375,1,0.24368,-0.03629,-1.05396,0.27136,0.60871
374,0,-1.5552,0.01012,-0.01797,-0.01196,-1.28064
373,0,-1.5552,-0.03629,-1.05396,-2.01938,-1.28064
372,1,0.24368,0.01857,0.81739,0.31635,0.50836
371,1,-0.00751,0.1021,0.81739,0.46057,-0.1333
370,1,0.24368,0.01857,0.59507,1.25739,-0.02813
369,1,-0.48791,0.01857,-0.27807,0.31635,0.1048
368,0,-0.48791,0.01012,-1.05396,-2.01938,-1.99435
383,1,-0.00751,-0.03629,-0.1886,0.46057,0.5979
382,0,-0.48791,-0.11892,0.81739,0.46057,-0.37788
381,0,0.24368,0.01857,-0.1886,-2.01938,-3.37268
380,1,0.37989,-0.03629,-0.01394,0.27136,-0.37788
379,1,0.37989,-0.03629,0.03755,0.31635,0.50836
378,1,0.24368,-0.11892,-1.05396,-1.28381,-3.37268
377,0,-0.48791,0.1021,0.81739,0.46057,-0.37788
376,0,-0.00751,0.01012,-3.42525,-3.4703,-0.1333
327,0,-0.48791,0.01012,-1.05396,-2.01938,-0.02813
326,0,-1.5552,0.01857,-1.05396,-2.01938,-3.37268
325,0,-0.48791,0.01857,0.81739,0.46057,-0.03249
324,1,-0.00751,0.1021,0.70113,1.49331,0.1298
323,0,0.24368,0.01012,-3.42525,-3.4703,-3.37268
322,0,-1.5552,-0.11892,0.81739,0.46057,-0.37788
321,0,-1.5552,0.1021,-1.05396,-2.01938,-0.1333
320,0,0.24368,-0.03629,0.81739,0.46057,-1.28064
335,1,0.37989,0.1021,1.01003,0.27136,-0.02813
334,1,0.24368,-0.03629,1.02107,-0.75901,-0.3554
333,0,-1.5552,-0.11892,-0.00596,-0.00587,-1.28064
332,0,-0.48791,0.1021,-3.42525,-3.4703,-3.37268
331,0,-1.5552,0.01012,-0.01777,-0.0173,-1.99435
330,0,-0.00751,0.01857,-3.42525,-3.4703,-3.37268
329,1,-0.00751,0.01012,-0.1886,0.46057,-0.1333
328,0,-0.00751,-0.11892,-0.18635,-2.01938,-1.28064
343,0,-0.48791,0.1021,-1.05396,-2.01938,-0.02813
342,0,-0.48791,-0.11892,-0.00277,0.46057,-1.28064
341,1,0.37989,0.01857,0.03755,-0.00102,0.60871
340,1,0.24368,0.1021,-0.27807,-0.75901,-2.09639
339,0,-0.48791,-0.03629,-1.05396,-2.01938,0.1298
338,1,-0.00751,-0.11892,-1.05396,-2.01938,-0.02813
337,0,-1.5552,-0.11892,-0.01797,-0.01196,-1.28064
336,0,-0.48791,0.01857,0.81739,0.46057,0.5979
351,1,-0.00751,0.01012,0.81739,1.25739,1.82967
350,0,-0.00751,-0.11892,-1.05396,-2.01938,-3.37268
